project_id,city_id,name,locality,pincode,existing_source,query,osm_lat,osm_lon,osm_display_name,accepted,acceptance_reason,cache_status
project_9368c4e9c8869df9,delhi_ncr,True Value Sharanam,"Sector 107, Dadri Road",201301.0,validated_candidate_geocode,"True Value Sharanam, Sector 107, Dadri Road, 201301.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_3767978d39fab513,delhi_ncr,Ninex City,"Sector 76, Delhi Gurgaon Expressway",122004.0,validated_candidate_geocode,"Ninex City, Sector 76, Delhi Gurgaon Expressway, 122004.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_60297c09129adedd,delhi_ncr,Krrish Florence,Sector 70,122101.0,validated_candidate_geocode,"Krrish Florence, Sector 70, 122101.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_d43b2b39a135eb9c,delhi_ncr,SKA Orion,Sector 143B,201306.0,validated_candidate_geocode,"SKA Orion, Sector 143B, 201306.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_13654b01b85c6e0a,delhi_ncr,Tulip Orange,Sector 70,122101.0,validated_candidate_geocode,"Tulip Orange, Sector 70, 122101.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_d8db1c6eceec6958,delhi_ncr,Conscient Heritage Max,Sector 102,122006.0,validated_candidate_geocode,"Conscient Heritage Max, Sector 102, 122006.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_c3161d2d1f50ea70,delhi_ncr,Divine Meadows,"Sector 108, Noida Express Way",201304.0,validated_candidate_geocode,"Divine Meadows, Sector 108, Noida Express Way, 201304.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_f7971f4853d87b4c,delhi_ncr,Puri Emerald Bay,Sector 104,122006.0,validated_candidate_geocode,"Puri Emerald Bay, Sector 104, 122006.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_e4346bb2d51e9a6b,delhi_ncr,Godrej Tropical Isle,Sector 146,201310.0,validated_candidate_geocode,"Godrej Tropical Isle, Sector 146, 201310.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_1ffb263c2ddeaefc,delhi_ncr,Ace Starlit,"Sector 152, Noida Express Way",201310.0,validated_candidate_geocode,"Ace Starlit, Sector 152, Noida Express Way, 201310.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_e4455772bb6d6876,delhi_ncr,ATS Tourmaline,Sector 109,122017.0,validated_candidate_geocode,"ATS Tourmaline, Sector 109, 122017.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_4ea07d8ccacbfac8,delhi_ncr,Satya Levante Residences,Sector 104,122006.0,validated_candidate_geocode,"Satya Levante Residences, Sector 104, 122006.0, Delhi NCR, India",,,,False,no_osm_result,miss
